LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania,All types,1999,2.19
Albania,Beer,1999,0.83
Albania,Wine,1999,0.76
Albania,Spirits,1999,0.59
Albania,Other alcoholic beverages,1999,0.0
Austria,All types,1999,12.8
Austria,Beer,1999,6.8
Austria,Wine,1999,4.2
Austria,Spirits,1999,1.8
Belarus,All types,1999,12.72
Belarus,Beer,1999,1.22
Belarus,Wine,1999,0.83
Belarus,Spirits,1999,7.85
Belarus,Other alcoholic beverages,1999,2.83
Belgium,All types,1999,10.1
Belgium,Beer,1999,6.06
Belgium,Wine,1999,2.67
Belgium,Spirits,1999,1.37
Belgium,Other alcoholic beverages,1999,0.0
Bosnia and Herzegovina,All types,1999,8.57
Bosnia and Herzegovina,Beer,1999,1.59
Bosnia and Herzegovina,Wine,1999,0.2
Bosnia and Herzegovina,Spirits,1999,6.78
Bulgaria,All types,1999,7.65
Bulgaria,Beer,1999,1.99
Bulgaria,Wine,1999,2.81
Bulgaria,Spirits,1999,2.85
Bulgaria,Other alcoholic beverages,1999,0.0
Croatia,All types,1999,12.15
Croatia,Beer,1999,4.56
Croatia,Wine,1999,6.57
Croatia,Spirits,1999,1.02
Croatia,Other alcoholic beverages,1999,0.0
Czechia,All types,1999,13.85
Czechia,Beer,1999,7.68
Czechia,Wine,1999,2.18
Czechia,Spirits,1999,3.99
Czechia,Other alcoholic beverages,1999,0.0
Denmark,All types,1999,11.62
Denmark,Beer,1999,6.24
Denmark,Wine,1999,4.01
Denmark,Spirits,1999,1.37
Estonia,All types,1999,8.85
Estonia,Beer,1999,3.93
Estonia,Wine,1999,0.97
Estonia,Spirits,1999,3.36
Estonia,Other alcoholic beverages,1999,0.59
Finland,All types,1999,8.62
Finland,Beer,1999,4.34
Finland,Wine,1999,1.91
Finland,Spirits,1999,1.1
Finland,Other alcoholic beverages,1999,1.27
France,All types,1999,13.15
France,Beer,1999,2.39
France,Wine,1999,7.8
France,Spirits,1999,2.71
France,Other alcoholic beverages,1999,0.25
Germany,All types,1999,12.94
Germany,Beer,1999,7.57
Germany,Wine,1999,3.0
Germany,Spirits,1999,2.37
Germany,Other alcoholic beverages,1999,0.0
Greece,All types,1999,9.47
Greece,Beer,1999,2.54
Greece,Wine,1999,4.57
Greece,Spirits,1999,2.31
Greece,Other alcoholic beverages,1999,0.05
Hungary,All types,1999,12.09
Hungary,Beer,1999,4.1
Hungary,Wine,1999,4.37
Hungary,Spirits,1999,3.62
Iceland,All types,1999,5.9
Iceland,Beer,1999,2.89
Iceland,Wine,1999,1.25
Iceland,Spirits,1999,1.76
Iceland,Other alcoholic beverages,1999,0.0
Ireland,All types,1999,14.95
Ireland,Beer,1999,9.94
Ireland,Wine,1999,1.54
Ireland,Spirits,1999,2.69
Ireland,Other alcoholic beverages,1999,
Italy,All types,1999,8.86
Italy,Beer,1999,1.58
Italy,Wine,1999,6.6
Italy,Spirits,1999,0.58
Latvia,All types,1999,8.84
Latvia,Beer,1999,2.11
Latvia,Wine,1999,1.25
Latvia,Spirits,1999,5.48
Latvia,Other alcoholic beverages,1999,0.0
Lithuania,All types,1999,6.75
Lithuania,Beer,1999,3.42
Lithuania,Wine,1999,1.12
Lithuania,Spirits,1999,2.16
Lithuania,Other alcoholic beverages,1999,0.05
Luxembourg,All types,1999,12.92
Luxembourg,Beer,1999,4.98
Luxembourg,Wine,1999,5.4
Luxembourg,Spirits,1999,2.54
