"Countries, territories and areas",Beverage Types, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010
France, Beer,2.52,2.43,2.3,2.21,2.16,2.26,1.8,2.15,2.1,2.18
France, Wine,6.44,6.29,6.79,6.9,7.09,7.04,7.13,7.33,7.41,7.27
France, Spirits,2.3,2.35,2.41,2.43,2.42,2.47,2.5,2.54,2.64,2.65
France, Other alcoholic beverages,0.18,0.17,0.19,0.2,0.2,0.3,0.3,0.2,0.2,0.2
Germany, All types,10.56,10.88,10.86,10.96,11.06,11.07,11.08,11.32,11.33,11.58
Germany, Beer,5.57,5.67,5.66,5.77,5.88,5.88,5.88,6.01,6.01,6.21
Germany, Wine,3.02,3.13,3.12,3.11,3.11,3.11,3.12,3.23,3.24,3.22
Germany, Spirits,1.97,2.08,2.08,2.08,2.07,2.07,2.08,2.08,2.08,2.15
Germany, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece, All types,6.33,6.45,6.67,6.68,6.68,7.06,7.55,7.62,7.48,8.33
Greece, Beer,2.13,2.13,2.05,2.15,2.1,2.15,2.19,2.18,2.18,2.31
Greece, Wine,2.66,2.75,3.0,2.96,3.01,3.29,3.72,3.8,3.53,4.0
Greece, Spirits,1.45,1.48,1.52,1.47,1.48,1.54,1.55,1.54,1.68,1.9
Greece, Other alcoholic beverages,0.08,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.1,0.12
Hungary, All types,10.79,10.79,10.79,11.28,10.95,10.92,10.73,11.13,11.37,10.7
Hungary, Beer,3.96,3.96,3.96,3.93,3.92,3.9,3.78,4.08,4.05,3.9
Hungary, Wine,3.33,3.33,3.33,3.61,3.4,2.93,3.2,3.19,3.51,3.16
Hungary, Spirits,3.5,3.5,3.5,3.74,3.62,4.09,3.74,3.86,3.81,3.64
Hungary, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland, All types,7.72,7.72,7.75,7.49,7.66,7.01,6.8,6.82,6.84,6.79
Iceland, Beer,4.39,4.39,4.42,4.24,4.26,3.86,3.74,3.77,3.68,3.71
Iceland, Wine,2.11,2.11,2.14,2.09,2.15,2.02,1.96,1.95,1.9,1.87
Iceland, Spirits,1.22,1.22,1.19,1.16,1.25,1.13,1.1,1.1,1.26,1.21
Iceland, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland, All types,10.91,11.15,11.13,11.3,10.81,10.88,10.51,11.38,11.49,11.57
Ireland, Beer,4.92,5.1,5.05,5.23,5.1,5.2,4.99,5.32,5.4,5.58
Ireland, Wine,2.88,2.89,3.0,3.03,2.88,2.83,2.65,2.91,2.96,2.91
Ireland, Spirits,2.29,2.31,2.23,2.18,2.02,1.99,2.01,2.28,2.23,2.17
Ireland, Other alcoholic beverages,0.82,0.85,0.86,0.86,0.8,0.86,0.86,0.88,0.91,0.92
Italy, All types,7.65,7.81,7.37,7.1,7.14,7.56,7.35,7.48,6.98,6.95
Italy, Beer,1.99,1.94,1.88,1.82,1.79,1.73,1.7,1.7,1.69,1.66
Italy, Wine,4.83,5.08,4.71,4.58,4.62,4.97,4.86,4.99,4.45,4.45
Italy, Spirits,0.83,0.79,0.79,0.69,0.74,0.86,0.79,0.79,0.84,0.84
Italy, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia, All types,12.9,13.2,12.6,11.3,10.8,10.6,10.43,10.2,10.11,9.83
Latvia, Beer,4.9,5.3,5.3,4.8,4.8,4.8,4.7,4.67,4.86,4.61
Latvia, Wine,1.7,1.6,1.4,1.3,1.2,1.2,1.1,1.16,1.13,1.05
Latvia, Spirits,5.3,5.3,5.1,4.5,4.1,4.0,3.99,3.77,3.57,3.64
Latvia, Other alcoholic beverages,1.0,1.0,0.8,0.7,0.7,0.6,0.64,0.6,0.55,0.53
Lithuania, All types,11.93,11.77,12.14,13.47,14.2,14.9,14.92,14.97,14.76,13.22
Lithuania, Beer,4.61,4.59,4.79,5.13,5.36,5.46,5.32,5.64,5.79,5.46
Lithuania, Wine,0.88,0.82,0.83,1.05,1.14,1.51,1.5,1.45,1.35,1.1
Lithuania, Spirits,4.96,4.88,5.04,5.54,5.78,5.81,5.8,5.67,5.53,4.65
Lithuania, Other alcoholic beverages,1.48,1.48,1.48,1.74,1.92,2.12,2.29,2.22,2.1,2.01
Luxembourg, All types,11.0,10.98,11.18,11.25,11.37,11.42,11.25,11.67,11.74,11.84
Luxembourg, Beer,4.04,4.05,3.98,3.99,4.02,4.07,3.84,4.08,4.06,4.19
Luxembourg, Wine,4.73,4.71,4.95,5.01,5.1,5.08,5.12,5.28,5.32,5.25
Luxembourg, Spirits,2.14,2.22,2.24,2.25,2.25,2.27,2.29,2.31,2.36,2.4
Luxembourg, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro, All types,9.91,9.87,9.56,9.13,8.49,8.55,9.62,9.37,9.02,9.94
Montenegro, Beer,3.83,3.83,3.71,3.54,3.5,3.58,3.94,4.28,4.0,4.2
Montenegro, Wine,2.68,2.67,2.55,2.45,1.98,2.09,2.89,2.41,2.41,3.21
Montenegro, Spirits,3.22,3.14,3.06,2.93,2.81,2.69,2.61,2.52,2.44,2.35
Montenegro, Other alcoholic beverages,0.16,0.23,0.23,0.21,0.2,0.2,0.18,0.16,0.17,0.18
North Macedonia, All types,3.9,3.89,3.77,3.63,3.57,3.56,3.61,3.54,3.52,3.53
North Macedonia, Beer,1.93,1.93,1.84,1.7,1.67,1.65,1.71,1.66,1.6,1.59
North Macedonia, Wine,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.06,1.06
North Macedonia, Spirits,0.9,0.89,0.87,0.85,0.83,0.83,0.83,0.81,0.84,0.86
North Macedonia, Other alcoholic beverages,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Norway, All types,6.05,6.02,6.0,6.03,5.97,6.06,6.21,6.21,6.44,6.59
Norway, Beer,2.63,2.66,2.63,2.65,2.57,2.62,2.68,2.67,2.83,2.91
Norway, Wine,2.23,2.2,2.19,2.21,2.22,2.25,2.3,2.29,2.3,2.29
Norway, Spirits,1.0,0.97,1.01,1.01,1.03,1.04,1.09,1.11,1.18,1.25
Norway, Other alcoholic beverages,0.19,0.19,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.14
Poland, All types,10.96,10.62,10.53,10.43,10.47,10.45,10.8,10.21,10.24,10.07
Poland, Beer,5.72,5.9,5.78,5.84,5.82,5.8,5.74,5.84,5.56,5.32
Poland, Wine,0.88,0.85,0.87,0.83,0.89,0.89,0.82,0.83,0.91,0.98
Poland, Spirits,4.36,3.88,3.87,3.76,3.76,3.76,4.23,3.53,3.77,3.77
Poland, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal, All types,10.37,10.37,10.37,10.37,10.34,10.2,9.52,9.76,10.86,11.26
Portugal, Beer,2.62,2.62,2.62,2.62,2.57,2.47,2.58,2.64,2.75,3.03
Portugal, Wine,6.04,6.04,6.04,6.04,6.05,5.96,5.16,5.34,6.37,6.44
Portugal, Spirits,1.34,1.34,1.34,1.34,1.34,1.4,1.4,1.4,1.4,1.41
Portugal, Other alcoholic beverages,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.32,0.38
Romania, All types,10.96,10.96,10.14,9.57,9.45,9.48,9.65,9.66,9.58,10.01
Romania, Beer,5.33,5.33,5.28,5.25,5.22,4.86,5.14,5.35,5.0,4.83
Romania, Wine,3.38,3.38,3.09,2.55,2.7,3.21,3.08,3.0,3.03,3.16
Romania, Spirits,2.25,2.25,1.77,1.77,1.54,1.42,1.42,1.3,1.54,2.02
Romania, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia, All types,10.3,10.05,9.69,9.91,10.27,10.26,9.9,10.14,10.27,10.16
Slovakia, Beer,4.14,3.43,3.43,3.19,3.42,3.3,3.42,3.66,3.54,3.43
Slovakia, Wine,2.01,2.25,2.13,2.36,2.6,2.83,2.36,2.12,2.24,2.13
Slovakia, Spirits,4.14,4.38,4.13,4.37,4.25,4.13,4.13,4.36,4.48,4.61
Slovakia, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia, All types,11.05,9.99,10.12,10.51,11.49,10.92,9.53,10.95,10.61,10.33
Slovenia, Beer,4.54,4.66,4.59,4.35,5.73,5.37,4.55,4.58,4.94,4.59
Slovenia, Wine,5.26,4.13,4.6,5.32,4.9,4.73,4.09,5.5,4.81,4.85
Slovenia, Spirits,1.26,1.2,0.93,0.84,0.86,0.82,0.89,0.87,0.86,0.89
Slovenia, Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain, All types,10.73,10.39,10.85,10.81,10.35,7.85,8.55,8.6,8.74,8.94
Spain, Beer,4.67,4.57,4.5,4.31,4.17,4.31,4.13,4.12,4.11,4.09
Spain, Wine,3.52,3.33,3.87,3.86,3.7,1.21,2.09,2.13,2.06,2.15
Spain, Spirits,2.34,2.3,2.3,2.46,2.31,2.16,2.18,2.18,2.41,2.53
Spain, Other alcoholic beverages,0.19,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.17,0.17
Sweden, All types,7.1,7.2,7.04,7.15,7.13,7.2,7.32,7.23,7.31,7.38
Sweden, Beer,2.6,2.69,2.57,2.65,2.62,2.64,2.65,2.63,2.67,2.74
Sweden, Wine,3.4,3.38,3.36,3.39,3.4,3.46,3.5,3.43,3.47,3.4
Sweden, Spirits,1.0,1.0,0.99,1.0,1.0,0.99,1.06,1.05,1.05,1.11
Sweden, Other alcoholic beverages,0.1,0.13,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.13
Switzerland, All types,9.41,9.17,9.16,9.28,9.62,9.62,9.74,9.87,9.99,10.01
Switzerland, Beer,3.17,3.17,3.05,3.05,3.17,3.17,3.17,3.17,3.17,3.18
Switzerland, Wine,4.35,4.23,4.23,4.34,4.58,4.58,4.69,4.7,4.82,4.94
Switzerland, Spirits,1.76,1.65,1.76,1.76,1.76,1.76,1.76,1.88,1.88,1.77
Switzerland, Other alcoholic beverages,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Ukraine, All types,5.69,5.44,5.13,5.72,6.04,7.58,8.73,8.54,8.74,7.77
Ukraine, Beer,2.44,2.44,2.43,2.36,2.51,2.94,3.22,3.29,3.33,3.39
Ukraine, Wine,0.32,0.31,0.29,0.31,0.32,0.35,0.42,0.42,0.43,0.46
Ukraine, Spirits,2.88,2.64,2.38,3.0,3.15,4.22,5.01,4.76,4.92,3.87
Ukraine, Other alcoholic beverages,0.05,0.05,0.04,0.04,0.07,0.08,0.08,0.08,0.06,0.06
