LOCATION,BEVERAGE TYPES,TIME,VALUE
Austria,All types,2008,12.03
Austria,Beer,2008,6.37
Austria,Wine,2008,3.89
Austria,Spirits,2008,1.77
Austria,Other alcoholic beverages,2008,0.0
Belarus,All types,2008,14.58
Belarus,Beer,2008,2.46
Belarus,Wine,2008,0.65
Belarus,Spirits,2008,6.32
Belarus,Other alcoholic beverages,2008,5.15
Belgium,All types,2008,10.51
Belgium,Beer,2008,5.04
Belgium,Wine,2008,3.83
Belgium,Spirits,2008,1.59
Belgium,Other alcoholic beverages,2008,0.06
Bosnia and Herzegovina,All types,2008,5.03
Bosnia and Herzegovina,Beer,2008,3.82
Bosnia and Herzegovina,Wine,2008,0.47
Bosnia and Herzegovina,Spirits,2008,0.6
Bosnia and Herzegovina,Other alcoholic beverages,2008,0.14
Bulgaria,All types,2008,10.73
Bulgaria,Beer,2008,4.4
Bulgaria,Wine,2008,1.49
Bulgaria,Spirits,2008,4.79
Bulgaria,Other alcoholic beverages,2008,0.05
Croatia,All types,2008,11.36
Croatia,Beer,2008,5.02
Croatia,Wine,2008,4.71
Croatia,Spirits,2008,1.24
Croatia,Other alcoholic beverages,2008,0.39
Czechia,All types,2008,13.65
Czechia,Beer,2008,7.29
Czechia,Wine,2008,2.58
Czechia,Spirits,2008,3.77
Czechia,Other alcoholic beverages,2008,0.0
Denmark,All types,2008,10.7
Denmark,Beer,2008,4.51
Denmark,Wine,2008,4.47
Denmark,Spirits,2008,1.66
Denmark,Other alcoholic beverages,2008,0.06
Estonia,All types,2008,16.61
Estonia,Beer,2008,5.37
Estonia,Wine,2008,1.52
Estonia,Spirits,2008,7.69
Estonia,Other alcoholic beverages,2008,2.04
Finland,All types,2008,10.26
Finland,Beer,2008,4.62
Finland,Wine,2008,1.85
Finland,Spirits,2008,1.75
Finland,Other alcoholic beverages,2008,2.04
France,All types,2008,12.53
France,Beer,2008,2.18
France,Wine,2008,7.33
France,Spirits,2008,2.72
France,Other alcoholic beverages,2008,0.3
Germany,All types,2008,11.37
Germany,Beer,2008,6.35
Germany,Wine,2008,3.24
Germany,Spirits,2008,2.16
Germany,Other alcoholic beverages,2008,0.0
Greece,All types,2008,8.73
Greece,Beer,2008,2.36
Greece,Wine,2008,4.03
Greece,Spirits,2008,2.18
Greece,Other alcoholic beverages,2008,0.16
Hungary,All types,2008,11.75
Hungary,Beer,2008,4.3
Hungary,Wine,2008,3.27
Hungary,Spirits,2008,4.18
Hungary,Other alcoholic beverages,2008,0.0
Iceland,All types,2008,7.19
Iceland,Beer,2008,3.55
Iceland,Wine,2008,2.12
Iceland,Spirits,2008,1.52
Iceland,Other alcoholic beverages,2008,0.0
Ireland,All types,2008,12.18
Ireland,Beer,2008,6.07
Ireland,Wine,2008,2.7
Ireland,Spirits,2008,2.4
Ireland,Other alcoholic beverages,2008,1.01
Italy,All types,2008,7.96
Italy,Beer,2008,1.71
Italy,Wine,2008,5.42
Italy,Spirits,2008,0.84
Italy,Other alcoholic beverages,2008,0.0
Latvia,All types,2008,11.84
Latvia,Beer,2008,4.12
Latvia,Wine,2008,1.13
Latvia,Spirits,2008,5.8
Latvia,Other alcoholic beverages,2008,0.79
Lithuania,All types,2008,13.79
Lithuania,Beer,2008,4.93
Lithuania,Wine,2008,0.99
Lithuania,Spirits,2008,5.78
Lithuania,Other alcoholic beverages,2008,2.08
Luxembourg,All types,2008,11.99
Luxembourg,Beer,2008,4.27
Luxembourg,Wine,2008,5.28
Luxembourg,Spirits,2008,2.44
Luxembourg,Other alcoholic beverages,2008,0.0
Montenegro,All types,2008,10.89
Montenegro,Beer,2008,5.46
Montenegro,Wine,2008,2.92
Montenegro,Spirits,2008,2.29
Montenegro,Other alcoholic beverages,2008,0.23
North Macedonia,All types,2008,4.02
North Macedonia,Beer,2008,2.04
North Macedonia,Wine,2008,1.07
North Macedonia,Spirits,2008,0.89
North Macedonia,Other alcoholic beverages,2008,0.02
Norway,All types,2008,6.75
Norway,Beer,2008,3.06
Norway,Wine,2008,2.23
Norway,Spirits,2008,1.33
Norway,Other alcoholic beverages,2008,0.13
Poland,All types,2008,10.8
Poland,Beer,2008,5.59
Poland,Wine,2008,1.18
Poland,Spirits,2008,4.03
Poland,Other alcoholic beverages,2008,0.0
Portugal,All types,2008,11.47
Portugal,Beer,2008,3.1
Portugal,Wine,2008,6.14
Portugal,Spirits,2008,1.85
Portugal,Other alcoholic beverages,2008,0.38
Romania,All types,2008,12.38
Romania,Beer,2008,5.74
Romania,Wine,2008,3.67
Romania,Spirits,2008,2.96
Romania,Other alcoholic beverages,2008,0.0
Slovakia,All types,2008,11.87
Slovakia,Beer,2008,3.8
Slovakia,Wine,2008,2.02
Slovakia,Spirits,2008,5.58
Slovakia,Other alcoholic beverages,2008,0.47
Slovenia,All types,2008,10.94
Slovenia,Beer,2008,5.16
Slovenia,Wine,2008,4.58
Slovenia,Spirits,2008,1.2
Slovenia,Other alcoholic beverages,2008,0.0
Spain,All types,2008,10.24
Spain,Beer,2008,4.92
Spain,Wine,2008,2.44
Spain,Spirits,2008,2.88
Spain,Other alcoholic beverages,2008,0.0
Sweden,All types,2008,7.02
Sweden,Beer,2008,2.7
Sweden,Wine,2008,3.09
Sweden,Spirits,2008,1.11
Sweden,Other alcoholic beverages,2008,0.12
Switzerland,All types,2008,10.29
Switzerland,Beer,2008,3.31
Switzerland,Wine,2008,4.97
Switzerland,Spirits,2008,1.89
Switzerland,Other alcoholic beverages,2008,0.12
Ukraine,All types,2008,9.41
Ukraine,Beer,2008,3.6
Ukraine,Wine,2008,0.48
Ukraine,Spirits,2008,5.24
Ukraine,Other alcoholic beverages,2008,0.09
Albania,All types,2007,5.46
Albania,Beer,2007,1.94
Albania,Wine,2007,1.06
Albania,Spirits,2007,2.35
Albania,Other alcoholic beverages,2007,0.11
Andorra,All types,2007,11.53
Andorra,Beer,2007,3.31
Andorra,Wine,2007,5.19
Andorra,Spirits,2007,2.88
Andorra,Other alcoholic beverages,2007,0.0
Austria,All types,2007,12.54
Austria,Beer,2007,6.39
Austria,Wine,2007,4.38
Austria,Spirits,2007,1.78
Austria,Other alcoholic beverages,2007,0.0
Belarus,All types,2007,13.91
Belarus,Beer,2007,2.29
Belarus,Wine,2007,0.62
Belarus,Spirits,2007,6.0
Belarus,Other alcoholic beverages,2007,5.0
Belgium,All types,2007,13.43
Belgium,Beer,2007,5.21
Belgium,Wine,2007,4.27
Belgium,Spirits,2007,3.97
Belgium,Other alcoholic beverages,2007,0.0
Bosnia and Herzegovina,All types,2007,5.03
Bosnia and Herzegovina,Beer,2007,3.79
Bosnia and Herzegovina,Wine,2007,0.49
Bosnia and Herzegovina,Spirits,2007,0.6
Bosnia and Herzegovina,Other alcoholic beverages,2007,0.14
Bulgaria,All types,2007,10.66
Bulgaria,Beer,2007,4.41
Bulgaria,Wine,2007,1.48
Bulgaria,Spirits,2007,4.73
Bulgaria,Other alcoholic beverages,2007,0.05
Croatia,All types,2007,11.36
Croatia,Beer,2007,5.12
Croatia,Wine,2007,4.62
Croatia,Spirits,2007,1.24
Croatia,Other alcoholic beverages,2007,0.38
Czechia,All types,2007,13.83
Czechia,Beer,2007,7.42
Czechia,Wine,2007,2.59
Czechia,Spirits,2007,3.82
Czechia,Other alcoholic beverages,2007,0.0
Denmark,All types,2007,10.99
Denmark,Beer,2007,4.76
Denmark,Wine,2007,4.41
Denmark,Spirits,2007,1.74
Denmark,Other alcoholic beverages,2007,0.07
Estonia,All types,2007,17.47
Estonia,Beer,2007,5.85
Estonia,Wine,2007,1.26
Estonia,Spirits,2007,8.36
Estonia,Other alcoholic beverages,2007,2.0
Finland,All types,2007,10.45
Finland,Beer,2007,4.7
Finland,Wine,2007,1.82
Finland,Spirits,2007,1.87
Finland,Other alcoholic beverages,2007,2.06
France,All types,2007,12.95
France,Beer,2007,2.33
France,Wine,2007,7.6
France,Spirits,2007,2.72
France,Other alcoholic beverages,2007,0.3
Germany,All types,2007,11.51
Germany,Beer,2007,6.48
Germany,Wine,2007,3.24
Germany,Spirits,2007,2.16
Germany,Other alcoholic beverages,2007,0.0
Greece,All types,2007,8.89
Greece,Beer,2007,2.34
Greece,Wine,2007,4.17
Greece,Spirits,2007,2.22
Greece,Other alcoholic beverages,2007,0.15
Hungary,All types,2007,12.54
Hungary,Beer,2007,4.59
Hungary,Wine,2007,3.87
Hungary,Spirits,2007,4.07
Hungary,Other alcoholic beverages,2007,0.0
Iceland,All types,2007,7.53
Iceland,Beer,2007,3.95
Iceland,Wine,2007,2.04
Iceland,Spirits,2007,1.54
Iceland,Other alcoholic beverages,2007,0.0
Ireland,All types,2007,13.17
Ireland,Beer,2007,6.53
Ireland,Wine,2007,2.84
Ireland,Spirits,2007,2.64
Ireland,Other alcoholic beverages,2007,1.16
Italy,All types,2007,8.37
Italy,Beer,2007,1.81
Italy,Wine,2007,5.72
Italy,Spirits,2007,0.84
Italy,Other alcoholic beverages,2007,0.0
Latvia,All types,2007,12.12
Latvia,Beer,2007,4.15
Latvia,Wine,2007,1.18
Latvia,Spirits,2007,5.91
Latvia,Other alcoholic beverages,2007,0.88
Lithuania,All types,2007,13.79
Lithuania,Beer,2007,5.04
Lithuania,Wine,2007,1.03
Lithuania,Spirits,2007,5.76
Lithuania,Other alcoholic beverages,2007,1.96
Luxembourg,All types,2007,12.27
Luxembourg,Beer,2007,4.41
Luxembourg,Wine,2007,5.42
Luxembourg,Spirits,2007,2.44
Luxembourg,Other alcoholic beverages,2007,0.0
Montenegro,All types,2007,9.68
Montenegro,Beer,2007,5.26
Montenegro,Wine,2007,1.96
Montenegro,Spirits,2007,2.25
Montenegro,Other alcoholic beverages,2007,0.22
North Macedonia,All types,2007,3.84
North Macedonia,Beer,2007,2.02
North Macedonia,Wine,2007,0.86
North Macedonia,Spirits,2007,0.93
North Macedonia,Other alcoholic beverages,2007,0.02
Norway,All types,2007,6.6
Norway,Beer,2007,3.02
Norway,Wine,2007,2.11
Norway,Spirits,2007,1.35
Norway,Other alcoholic beverages,2007,0.12
Poland,All types,2007,10.39
