LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania,Spirits,2002,2.18
Albania,Otheralcoholicbeverages,2002,0.09
Albania,Alltypes,2003,4.33
Albania,Beer,2003,1.45
Albania,Wine,2003,0.58
Albania,Spirits,2003,2.22
Albania,Otheralcoholicbeverages,2003,0.09
Albania,Alltypes,2004,4.42
Albania,Beer,2004,1.38
Albania,Wine,2004,0.82
Albania,Spirits,2004,2.14
Albania,Otheralcoholicbeverages,2004,0.09
Albania,Alltypes,2005,4.98
Albania,Beer,2005,1.65
Albania,Wine,2005,1.02
Albania,Spirits,2005,2.22
Albania,Otheralcoholicbeverages,2005,0.09
Albania,Alltypes,2006,5.17
Albania,Beer,2006,1.79
Albania,Wine,2006,1.0
Albania,Spirits,2006,2.28
Albania,Otheralcoholicbeverages,2006,0.1
Albania,Alltypes,2007,5.46
Albania,Beer,2007,1.94
Albania,Wine,2007,1.06
Albania,Spirits,2007,2.35
Albania,Otheralcoholicbeverages,2007,0.11
Albania,Alltypes,2008,5.56
Albania,Beer,2008,2.13
Albania,Wine,2008,0.97
Albania,Spirits,2008,2.35
Albania,Otheralcoholicbeverages,2008,0.11
Albania,Alltypes,2009,5.79
Albania,Beer,2009,2.21
Albania,Wine,2009,1.06
Albania,Spirits,2009,2.41
Albania,Otheralcoholicbeverages,2009,0.12
Albania,Alltypes,2010,4.88
Albania,Beer,2010,1.71
Albania,Wine,2010,1.08
Albania,Spirits,2010,1.97
Albania,Otheralcoholicbeverages,2010,0.11
Albania,Alltypes,2011,5.03
Albania,Beer,2011,1.88
Albania,Wine,2011,1.08
Albania,Spirits,2011,1.99
Albania,Otheralcoholicbeverages,2011,0.09
Albania,Alltypes,2012,4.43
Albania,Beer,2012,1.34
Albania,Wine,2012,1.12
Albania,Spirits,2012,1.88
Albania,Otheralcoholicbeverages,2012,0.09
Albania,Alltypes,2013,4.28
Albania,Beer,2013,1.34
Albania,Wine,2013,1.07
Albania,Spirits,2013,1.79
Albania,Otheralcoholicbeverages,2013,0.08
Albania,Alltypes,2014,4.1
Albania,Beer,2014,1.29
Albania,Wine,2014,0.99
Albania,Spirits,2014,1.74
Albania,Otheralcoholicbeverages,2014,0.08
Albania,Alltypes,2015,4.33
Albania,Beer,2015,1.48
Albania,Wine,2015,1.1
Albania,Spirits,2015,1.68
Albania,Otheralcoholicbeverages,2015,0.08
Albania,Alltypes,2016,4.38
Albania,Beer,2016,1.52
Albania,Wine,2016,1.17
Albania,Spirits,2016,1.61
Albania,Otheralcoholicbeverages,2016,0.08
Albania,Alltypes,2017,4.39
Albania,Beer,2017,1.64
Albania,Wine,2017,1.11
Albania,Spirits,2017,1.56
Albania,Otheralcoholicbeverages,2017,0.08
Albania,Alltypes,2018,4.44
Albania,Beer,2018,1.75
Albania,Wine,2018,1.12
Albania,Spirits,2018,1.5
Albania,Otheralcoholicbeverages,2018,0.08
Albania,Alltypes,2019,4.4
Albania,Beer,2019,1.75
Albania,Wine,2019,1.15
Albania,Spirits,2019,1.43
Albania,Otheralcoholicbeverages,2019,0.08
Andorra,Alltypes,2000,12.77
Andorra,Beer,2000,3.04
Andorra,Wine,2000,6.52
Andorra,Spirits,2000,2.99
Andorra,Otheralcoholicbeverages,2000,0.0
Andorra,Alltypes,2001,13.08
Andorra,Beer,2001,3.13
Andorra,Wine,2001,6.4
Andorra,Spirits,2001,3.34
Andorra,Otheralcoholicbeverages,2001,0.0
Andorra,Alltypes,2002,12.16
Andorra,Beer,2002,3.03
Andorra,Wine,2002,6.26
Andorra,Spirits,2002,2.66
Andorra,Otheralcoholicbeverages,2002,0.0
Andorra,Alltypes,2003,12.25
Andorra,Beer,2003,3.19
Andorra,Wine,2003,5.98
Andorra,Spirits,2003,2.9
Andorra,Otheralcoholicbeverages,2003,0.0
Andorra,Alltypes,2004,12.23
Andorra,Beer,2004,3.16
Andorra,Wine,2004,5.9
Andorra,Spirits,2004,3.02
Andorra,Otheralcoholicbeverages,2004,0.0
Andorra,Alltypes,2005,11.82
Andorra,Beer,2005,3.23
Andorra,Wine,2005,5.64
Andorra,Spirits,2005,2.8
Andorra,Otheralcoholicbeverages,2005,0.0
Andorra,Alltypes,2006,11.89
Andorra,Beer,2006,3.34
Andorra,Wine,2006,5.57
Andorra,Spirits,2006,2.88
Andorra,Otheralcoholicbeverages,2006,0.0
Andorra,Alltypes,2007,11.53
Andorra,Beer,2007,3.31
Andorra,Wine,2007,5.19
Andorra,Spirits,2007,2.88
Andorra,Otheralcoholicbeverages,2007,0.0
Andorra,Alltypes,2008,10.96
Andorra,Beer,2008,3.15
Andorra,Wine,2008,4.91
Andorra,Spirits,2008,2.74
Andorra,Otheralcoholicbeverages,2008,0.0
Andorra,Alltypes,2009,10.86
Andorra,Beer,2009,3.2
Andorra,Wine,2009,4.87
Andorra,Spirits,2009,2.64
Andorra,Otheralcoholicbeverages,2009,0.0
Andorra,Alltypes,2010,10.53
Andorra,Beer,2010,3.13
Andorra,Wine,2010,4.71
Andorra,Spirits,2010,2.59
Andorra,Otheralcoholicbeverages,2010,0.0
Andorra,Alltypes,2011,10.46
Andorra,Beer,2011,3.1
Andorra,Wine,2011,4.73
Andorra,Spirits,2011,2.52
Andorra,Otheralcoholicbeverages,2011,0.0
Andorra,Alltypes,2012,10.33
Andorra,Beer,2012,3.14
Andorra,Wine,2012,4.73
Andorra,Spirits,2012,2.36
Andorra,Otheralcoholicbeverages,2012,0.0
Andorra,Alltypes,2013,10.06
Andorra,Beer,2013,2.96
Andorra,Wine,2013,4.61
Andorra,Spirits,2013,2.34
Andorra,Otheralcoholicbeverages,2013,0.0
Andorra,Alltypes,2014,9.88
Andorra,Beer,2014,3.28
Andorra,Wine,2014,4.13
Andorra,Spirits,2014,2.32
Andorra,Otheralcoholicbeverages,2014,0.0
Andorra,Alltypes,2015,11.02
Andorra,Beer,2015,3.16
Andorra,Wine,2015,5.4
Andorra,Spirits,2015,2.36
Andorra,Otheralcoholicbeverages,2015,0.0
Andorra,Alltypes,2016,11.18
Andorra,Beer,2016,3.26
Andorra,Wine,2016,5.38
Andorra,Spirits,2016,2.44
Andorra,Otheralcoholicbeverages,2016,0.0
Andorra,Alltypes,2017,11.18
Andorra,Beer,2017,3.4
Andorra,Wine,2017,5.33
Andorra,Spirits,2017,2.35
Andorra,Otheralcoholicbeverages,2017,0.0
Andorra,Alltypes,2018,10.72
Andorra,Beer,2018,3.5
Andorra,Wine,2018,4.81
Andorra,Spirits,2018,2.33
Andorra,Otheralcoholicbeverages,2018,0.0
Andorra,Alltypes,2019,10.99
Andorra,Beer,2019,3.59
Andorra,Wine,2019,4.98
Andorra,Spirits,2019,2.32
Andorra,Otheralcoholicbeverages,2019,0.0
Austria,Alltypes,1960,8.91
Austria,Beer,1960,4.7
Austria,Wine,1960,2.81
Austria,Spirits,1960,1.4
Austria,Alltypes,1961,9.31
Austria,Beer,1961,4.9
Austria,Wine,1961,3.01
Austria,Spirits,1961,1.4
Austria,Alltypes,1962,9.7
Austria,Beer,1962,5.2
Austria,Wine,1962,2.9
Austria,Spirits,1962,1.6
Austria,Alltypes,1963,9.8
Austria,Beer,1963,5.5
Austria,Wine,1963,3.0
Austria,Spirits,1963,1.3
Austria,Alltypes,1964,10.7
Austria,Beer,1964,6.0
Austria,Wine,1964,3.1
Austria,Spirits,1964,1.6
Austria,Alltypes,1965,11.6
Austria,Beer,1965,6.0
Austria,Wine,1965,4.0
Austria,Spirits,1965,1.6
Austria,Alltypes,1966,12.4
Austria,Beer,1966,6.5
Austria,Wine,1966,4.7
Austria,Spirits,1966,1.2
Austria,Alltypes,1967,13.1
Austria,Beer,1967,6.5
Austria,Wine,1967,4.8
Austria,Spirits,1967,1.8
Austria,Alltypes,1968,13.2
Austria,Beer,1968,6.8
Austria,Wine,1968,5.0
Austria,Spirits,1968,1.4
Austria,Alltypes,1969,13.0
Austria,Beer,1969,6.4
Austria,Wine,1969,5.0
Austria,Spirits,1969,1.6
Austria,Alltypes,1970,13.4
Austria,Beer,1970,6.5
Austria,Wine,1970,5.2
Austria,Spirits,1970,1.7
Austria,Alltypes,1971,13.6
Austria,Beer,1971,6.6
Austria,Wine,1971,5.4
Austria,Spirits,1971,1.6
Austria,Alltypes,1972,14.2
Austria,Beer,1972,7.0
Austria,Wine,1972,5.4
Austria,Spirits,1972,1.8
Austria,Alltypes,1973,14.6
Austria,Beer,1973,7.0
Austria,Wine,1973,5.5
Austria,Spirits,1973,2.1
Austria,Alltypes,1974,14.5
Austria,Beer,1974,7.1
Austria,Wine,1974,5.3
Austria,Spirits,1974,2.1
Austria,Alltypes,1975,14.1
Austria,Beer,1975,6.7
Austria,Wine,1975,5.2
Austria,Spirits,1975,2.2
Austria,Alltypes,1976,14.3
Austria,Beer,1976,6.8
Austria,Wine,1976,5.4
Austria,Spirits,1976,2.1
Austria,Alltypes,1977,14.2
Austria,Beer,1977,6.8
Austria,Wine,1977,5.3
Austria,Spirits,1977,2.1
Austria,Alltypes,1978,14.0
Austria,Beer,1978,6.7
Austria,Wine,1978,5.1
Austria,Spirits,1978,2.2
Austria,Alltypes,1979,13.4
Austria,Beer,1979,6.5
Austria,Wine,1979,5.2
Austria,Spirits,1979,1.7
Austria,Alltypes,1980,13.6
Austria,Beer,1980,6.5
Austria,Wine,1980,5.1
Austria,Spirits,1980,2.0
Austria,Alltypes,1981,13.5
Austria,Beer,1981,6.5
Austria,Wine,1981,5.0
Austria,Spirits,1981,2.0
Austria,Alltypes,1982,13.5
Austria,Beer,1982,6.6
Austria,Wine,1982,5.0
Austria,Spirits,1982,1.9
Austria,Alltypes,1983,14.0
Austria,Beer,1983,6.8
Austria,Wine,1983,5.3
Austria,Spirits,1983,1.9
Austria,Alltypes,1984,13.9
Austria,Beer,1984,6.9
Austria,Wine,1984,5.1
Austria,Spirits,1984,1.9
Austria,Alltypes,1985,13.3
Austria,Beer,1985,6.7
Austria,Wine,1985,4.8
Austria,Spirits,1985,1.8
Austria,Alltypes,1986,13.6
Austria,Beer,1986,7.2
Austria,Wine,1986,4.6
Austria,Spirits,1986,1.8
Austria,Alltypes,1987,13.5
Austria,Beer,1987,6.9
Austria,Wine,1987,4.7
Austria,Spirits,1987,1.9
Austria,Alltypes,1988,13.7
Austria,Beer,1988,7.0
Austria,Wine,1988,4.8
Austria,Spirits,1988,1.9
Austria,Alltypes,1989,13.9
Austria,Beer,1989,7.1
