LOCATION,BEVERAGE TYPES,TIME,VALUE
Albania, All types, 2019,4.4
Albania, Beer, 2019,1.75
Albania, Wine, 2019,1.15
Albania, Spirits, 2019,1.43
Albania, Other alcoholic beverages, 2019,0.08
Andorra, All types, 2019,10.99
Andorra, Beer, 2019,3.59
Andorra, Wine, 2019,4.98
Andorra, Spirits, 2019,2.32
Andorra, Other alcoholic beverages, 2019,0.0
Austria, All types, 2019,11.9
Austria, Beer, 2019,6.3
Austria, Wine, 2019,3.7
Austria, Spirits, 2019,1.9
Austria, Other alcoholic beverages, 2019,0.0
Belarus, All types, 2019,10.57
Belarus, Beer, 2019,2.26
Belarus, Wine, 2019,0.98
Belarus, Spirits, 2019,4.67
Belarus, Other alcoholic beverages, 2019,2.66
Belgium, All types, 2019,9.15
Belgium, Beer, 2019,4.35
Belgium, Wine, 2019,3.41
Belgium, Spirits, 2019,1.09
Belgium, Other alcoholic beverages, 2019,0.3
Bosnia and Herzegovina, All types, 2019,5.46
Bosnia and Herzegovina, Beer, 2019,4.19
Bosnia and Herzegovina, Wine, 2019,0.47
Bosnia and Herzegovina, Spirits, 2019,0.62
Bosnia and Herzegovina, Other alcoholic beverages, 2019,0.17
Bulgaria, All types, 2019,11.18
Bulgaria, Beer, 2019,4.44
Bulgaria, Wine, 2019,1.72
Bulgaria, Spirits, 2019,4.96
Bulgaria, Other alcoholic beverages, 2019,0.06
Croatia, All types, 2019,9.64
Croatia, Beer, 2019,4.75
Croatia, Wine, 2019,3.52
Croatia, Spirits, 2019,1.37
Croatia, Other alcoholic beverages, 2019,0.36
Czechia, All types, 2019,12.73
Czechia, Beer, 2019,6.77
Czechia, Wine, 2019,2.73
Czechia, Spirits, 2019,3.24
Czechia, Other alcoholic beverages, 2019,0.0
Denmark, All types, 2019,9.16
Denmark, Beer, 2019,3.42
Denmark, Wine, 2019,4.08
Denmark, Spirits, 2019,1.66
Denmark, Other alcoholic beverages, 2019,0.0
Estonia, All types, 2019,11.65
Estonia, Beer, 2019,4.0
Estonia, Wine, 2019,1.92
Estonia, Spirits, 2019,4.6
Estonia, Other alcoholic beverages, 2019,1.13
Finland, All types, 2019,8.23
Finland, Beer, 2019,3.76
Finland, Wine, 2019,1.59
Finland, Spirits, 2019,1.96
Finland, Other alcoholic beverages, 2019,0.91
France, All types, 2019,11.44
France, Beer, 2019,2.52
France, Wine, 2019,6.44
France, Spirits, 2019,2.3
France, Other alcoholic beverages, 2019,0.18
Germany, All types, 2019,10.56
Germany, Beer, 2019,5.57
Germany, Wine, 2019,3.02
Germany, Spirits, 2019,1.97
Germany, Other alcoholic beverages, 2019,0.0
Greece, All types, 2019,6.33
Greece, Beer, 2019,2.13
Greece, Wine, 2019,2.66
Greece, Spirits, 2019,1.45
Greece, Other alcoholic beverages, 2019,0.08
Hungary, All types, 2019,10.79
Hungary, Beer, 2019,3.96
Hungary, Wine, 2019,3.33
Hungary, Spirits, 2019,3.5
Hungary, Other alcoholic beverages, 2019,0.0
Iceland, All types, 2019,7.72
Iceland, Beer, 2019,4.39
Iceland, Wine, 2019,2.11
Iceland, Spirits, 2019,1.22
Iceland, Other alcoholic beverages, 2019,0.0
Ireland, All types, 2019,10.91
Ireland, Beer, 2019,4.92
Ireland, Wine, 2019,2.88
Ireland, Spirits, 2019,2.29
Ireland, Other alcoholic beverages, 2019,0.82
Italy, All types, 2019,7.65
Italy, Beer, 2019,1.99
Italy, Wine, 2019,4.83
Italy, Spirits, 2019,0.83
Italy, Other alcoholic beverages, 2019,0.0
Latvia, All types, 2019,12.9
Latvia, Beer, 2019,4.9
Latvia, Wine, 2019,1.7
Latvia, Spirits, 2019,5.3
Latvia, Other alcoholic beverages, 2019,1.0
Lithuania, All types, 2019,11.93
Lithuania, Beer, 2019,4.61
Lithuania, Wine, 2019,0.88
Lithuania, Spirits, 2019,4.96
Lithuania, Other alcoholic beverages, 2019,1.48
Luxembourg, All types, 2019,11.0
Luxembourg, Beer, 2019,4.04
Luxembourg, Wine, 2019,4.73
Luxembourg, Spirits, 2019,2.14
Luxembourg, Other alcoholic beverages, 2019,0.0
Montenegro, All types, 2019,9.91
Montenegro, Beer, 2019,3.83
Montenegro, Wine, 2019,2.68
Montenegro, Spirits, 2019,3.22
Montenegro, Other alcoholic beverages, 2019,0.16
North Macedonia, All types, 2019,3.9
North Macedonia, Beer, 2019,1.93
North Macedonia, Wine, 2019,1.03
North Macedonia, Spirits, 2019,0.9
North Macedonia, Other alcoholic beverages, 2019,0.03
Norway, All types, 2019,6.05
Norway, Beer, 2019,2.63
Norway, Wine, 2019,2.23
Norway, Spirits, 2019,1.0
Norway, Other alcoholic beverages, 2019,0.19
Poland, All types, 2019,10.96
Poland, Beer, 2019,5.72
Poland, Wine, 2019,0.88
Poland, Spirits, 2019,4.36
Poland, Other alcoholic beverages, 2019,0.0
Portugal, All types, 2019,10.37
Portugal, Beer, 2019,2.62
Portugal, Wine, 2019,6.04
Portugal, Spirits, 2019,1.34
Portugal, Other alcoholic beverages, 2019,0.37
Romania, All types, 2019,10.96
Romania, Beer, 2019,5.33
Romania, Wine, 2019,3.38
Romania, Spirits, 2019,2.25
Romania, Other alcoholic beverages, 2019,0.0
Slovakia, All types, 2019,10.3
Slovakia, Beer, 2019,4.14
Slovakia, Wine, 2019,2.01
Slovakia, Spirits, 2019,4.14
Slovakia, Other alcoholic beverages, 2019,0.0
Slovenia, All types, 2019,11.05
Slovenia, Beer, 2019,4.54
Slovenia, Wine, 2019,5.26
Slovenia, Spirits, 2019,1.26
Slovenia, Other alcoholic beverages, 2019,0.0
Spain, All types, 2019,10.73
Spain, Beer, 2019,4.67
Spain, Wine, 2019,3.52
Spain, Spirits, 2019,2.34
Spain, Other alcoholic beverages, 2019,0.19
Sweden, All types, 2019,7.1
Sweden, Beer, 2019,2.6
Sweden, Wine, 2019,3.4
Sweden, Spirits, 2019,1.0
Sweden, Other alcoholic beverages, 2019,0.1
Switzerland, All types, 2019,9.41
Switzerland, Beer, 2019,3.17
Switzerland, Wine, 2019,4.35
Switzerland, Spirits, 2019,1.76
Switzerland, Other alcoholic beverages, 2019,0.12
Ukraine, All types, 2019,5.69
Ukraine, Beer, 2019,2.44
Ukraine, Wine, 2019,0.32
Ukraine, Spirits, 2019,2.88
Ukraine, Other alcoholic beverages, 2019,0.05
Albania, All types, 2018,4.44
Albania, Beer, 2018,1.75
Albania, Wine, 2018,1.12
Albania, Spirits, 2018,1.5
Albania, Other alcoholic beverages, 2018,0.08
Andorra, All types, 2018,10.72
Andorra, Beer, 2018,3.5
Andorra, Wine, 2018,4.81
Andorra, Spirits, 2018,2.33
Andorra, Other alcoholic beverages, 2018,0.0
Austria, All types, 2018,11.6
Austria, Beer, 2018,6.1
Austria, Wine, 2018,3.6
Austria, Spirits, 2018,1.9
Austria, Other alcoholic beverages, 2018,0.0
Belarus, All types, 2018,10.08
Belarus, Beer, 2018,2.18
Belarus, Wine, 2018,0.9
Belarus, Spirits, 2018,4.52
Belarus, Other alcoholic beverages, 2018,2.48
Belgium, All types, 2018,9.22
Belgium, Beer, 2018,4.4
Belgium, Wine, 2018,3.41
Belgium, Spirits, 2018,1.1
Belgium, Other alcoholic beverages, 2018,0.31
Bosnia and Herzegovina, All types, 2018,5.44
Bosnia and Herzegovina, Beer, 2018,4.19
Bosnia and Herzegovina, Wine, 2018,0.47
Bosnia and Herzegovina, Spirits, 2018,0.61
Bosnia and Herzegovina, Other alcoholic beverages, 2018,0.17
Bulgaria, All types, 2018,11.53
Bulgaria, Beer, 2018,4.44
Bulgaria, Wine, 2018,2.07
Bulgaria, Spirits, 2018,4.85
Bulgaria, Other alcoholic beverages, 2018,0.17
Croatia, All types, 2018,9.63
Croatia, Beer, 2018,4.75
Croatia, Wine, 2018,3.52
Croatia, Spirits, 2018,1.36
Croatia, Other alcoholic beverages, 2018,0.39
Czechia, All types, 2018,12.73
Czechia, Beer, 2018,6.77
Czechia, Wine, 2018,2.73
Czechia, Spirits, 2018,3.24
Czechia, Other alcoholic beverages, 2018,0.0
Denmark, All types, 2018,9.32
Denmark, Beer, 2018,3.45
Denmark, Wine, 2018,4.22
Denmark, Spirits, 2018,1.65
Denmark, Other alcoholic beverages, 2018,0.0
Estonia, All types, 2018,10.81
Estonia, Beer, 2018,3.61
Estonia, Wine, 2018,1.9
Estonia, Spirits, 2018,4.32
Estonia, Other alcoholic beverages, 2018,0.98
Finland, All types, 2018,8.37
Finland, Beer, 2018,3.97
Finland, Wine, 2018,1.72
Finland, Spirits, 2018,1.1
Finland, Other alcoholic beverages, 2018,1.58
France, All types, 2018,11.24
France, Beer, 2018,2.43
France, Wine, 2018,6.29
France, Spirits, 2018,2.35
France, Other alcoholic beverages, 2018,0.17
Germany, All types, 2018,10.88
Germany, Beer, 2018,5.67
Germany, Wine, 2018,3.13
Germany, Spirits, 2018,2.08
Germany, Other alcoholic beverages, 2018,0.0
Greece, All types, 2018,6.45
Greece, Beer, 2018,2.13
Greece, Wine, 2018,2.75
Greece, Spirits, 2018,1.48
Greece, Other alcoholic beverages, 2018,0.1
Hungary, All types, 2018,10.79
Hungary, Beer, 2018,3.96
Hungary, Wine, 2018,3.33
Hungary, Spirits, 2018,3.5
Hungary, Other alcoholic beverages, 2018,0.0
Iceland, All types, 2018,7.72
Iceland, Beer, 2018,4.39
Iceland, Wine, 2018,2.11
Iceland, Spirits, 2018,1.22
Iceland, Other alcoholic beverages, 2018,0.0
Ireland, All types, 2018,11.15
Ireland, Beer, 2018,5.1
Ireland, Wine, 2018,2.89
Ireland, Spirits, 2018,2.31
Ireland, Other alcoholic beverages, 2018,0.85
Italy, All types, 2018,7.81
Italy, Beer, 2018,1.94
Italy, Wine, 2018,5.08
Italy, Spirits, 2018,0.79
Italy, Other alcoholic beverages, 2018,0.0
Latvia, All types, 2018,13.2
Latvia, Beer, 2018,5.3
Latvia, Wine, 2018,1.6
Latvia, Spirits, 2018,5.3
Latvia, Other alcoholic beverages, 2018,1.0
Lithuania, All types, 2018,11.77
Lithuania, Beer, 2018,4.59
Lithuania, Wine, 2018,0.82
Lithuania, Spirits, 2018,4.88
Lithuania, Other alcoholic beverages, 2018,1.48
Luxembourg, All types, 2018,10.98
Luxembourg, Beer, 2018,4.05
Luxembourg, Wine, 2018,4.71
Luxembourg, Spirits, 2018,2.22
Luxembourg, Other alcoholic beverages, 2018,0.0
Montenegro, All types, 2018,9.87
Montenegro, Beer, 2018,3.83
Montenegro, Wine, 2018,2.67
Montenegro, Spirits, 2018,3.14
Montenegro, Other alcoholic beverages, 2018,0.23
North Macedonia, All types, 2018,3.89
North Macedonia, Beer, 2018,1.93
North Macedonia, Wine, 2018,1.03
North Macedonia, Spirits, 2018,0.89
North Macedonia, Other alcoholic beverages, 2018,0.04
Norway, All types, 2018,6.02
Norway, Beer, 2018,2.66
Norway, Wine, 2018,2.2
Norway, Spirits, 2018,0.97
Norway, Other alcoholic beverages, 2018,0.19
Poland, All types, 2018,10.62
Poland, Beer, 2018,5.9
Poland, Wine, 2018,0.85
Poland, Spirits, 2018,3.88
Poland, Other alcoholic beverages, 2018,0.0
Portugal, All types, 2018,10.37
Portugal, Beer, 2018,2.62
Portugal, Wine, 2018,6.04
Portugal, Spirits, 2018,1.34
Portugal, Other alcoholic beverages, 2018,0.37
Romania, All types, 2018,10.96
Romania, Beer, 2018,5.33
Romania, Wine, 2018,3.38
Romania, Spirits, 2018,2.25
Romania, Other alcoholic beverages, 2018,0.0
Slovakia, All types, 2018,10.05
Slovakia, Beer, 2018,3.43
Slovakia, Wine, 2018,2.25
Slovakia, Spirits, 2018,4.38
Slovakia, Other alcoholic beverages, 2018,0.0
Slovenia, All types, 2018,9.99
Slovenia, Beer, 2018,4.66
Slovenia, Wine, 2018,4.13
Slovenia, Spirits, 2018,1.2
Slovenia, Other alcoholic beverages, 2018,0.0
Spain, All types, 2018,10.39
Spain, Beer, 2018,4.57
Spain, Wine, 2018,3.33
Spain, Spirits, 2018,2.3
Spain, Other alcoholic beverages, 2018,0.18
Sweden, All types, 2018,7.2
Sweden, Beer, 2018,2.69
Sweden, Wine, 2018,3.38
Sweden, Spirits, 2018,1.0
Sweden, Other alcoholic beverages, 2018,0.13
Switzerland, All types, 2018,9.17
Switzerland, Beer, 2018,3.17
Switzerland, Wine, 2018,4.23
Switzerland, Spirits, 2018,1.65
Switzerland, Other alcoholic beverages, 2018,0.12
Ukraine, All types, 2018,5.44
Ukraine, Beer, 2018,2.44
Ukraine, Wine, 2018,0.31
Ukraine, Spirits, 2018,2.64
Ukraine, Other alcoholic beverages, 2018,0.05
Albania, All types, 2017,4.39
Albania, Beer, 2017,1.64
Albania, Wine, 2017,1.11
Albania, Spirits, 2017,1.56
Albania, Other alcoholic beverages, 2017,0.08
Andorra, All types, 2017,11.18
Andorra, Beer, 2017,3.4
Andorra, Wine, 2017,5.33
Andorra, Spirits, 2017,2.35
Andorra, Other alcoholic beverages, 2017,0.0
Austria, All types, 2017,11.6
Austria, Beer, 2017,6.1
Austria, Wine, 2017,3.6
Austria, Spirits, 2017,1.9
Austria, Other alcoholic beverages, 2017,0.0
Belarus, All types, 2017,9.76
Belarus, Beer, 2017,2.05
Belarus, Wine, 2017,0.85
Belarus, Spirits, 2017,4.49
Belarus, Other alcoholic beverages, 2017,2.38
Belgium, All types, 2017,9.3
Belgium, Beer, 2017,4.42
Belgium, Wine, 2017,3.42
Belgium, Spirits, 2017,1.13
Belgium, Other alcoholic beverages, 2017,0.34
Bosnia and Herzegovina, All types, 2017,5.25
Bosnia and Herzegovina, Beer, 2017,4.01
Bosnia and Herzegovina, Wine, 2017,0.48
Bosnia and Herzegovina, Spirits, 2017,0.6
Bosnia and Herzegovina, Other alcoholic beverages, 2017,0.17
Bulgaria, All types, 2017,10.93
Bulgaria, Beer, 2017,4.32
Bulgaria, Wine, 2017,1.72
Bulgaria, Spirits, 2017,4.72
Bulgaria, Other alcoholic beverages, 2017,0.16
Croatia, All types, 2017,9.7
Croatia, Beer, 2017,4.65
Croatia, Wine, 2017,3.7
Croatia, Spirits, 2017,1.35
Croatia, Other alcoholic beverages, 2017,0.38
Czechia, All types, 2017,12.73
Czechia, Beer, 2017,6.77
Czechia, Wine, 2017,2.73
