"Countries, territories and areas",Beverage Types,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Denmark,All types,11.62,11.69,12.2,12.27,12.16,12.14,11.89,11.94,11.76,11.85,11.65,11.9,11.74,12.26,12.2,12.4,12.81,12.47,12.09,11.5
Denmark,Beer,6.24,6.41,6.92,7.14,7.27,7.34,7.25,7.29,7.25,7.45,7.45,7.27,7.17,7.67,7.44,8.0,8.31,8.03,7.86,7.68
Denmark,Wine,4.01,3.91,3.93,3.78,3.68,3.48,3.34,3.22,2.92,2.82,2.55,2.88,2.75,2.66,2.79,2.56,2.58,2.39,2.22,1.95
Denmark,Spirits,1.37,1.37,1.35,1.35,1.21,1.32,1.3,1.43,1.59,1.58,1.65,1.75,1.82,1.93,1.97,1.84,1.92,2.05,2.01,1.87
Estonia,All types,8.85,8.01,8.3,7.97,8.27,8.18,8.1,7.84,9.13,9.84,,,,,,,,,,
Estonia,Beer,3.93,3.18,2.72,2.24,2.29,2.18,1.85,1.86,1.67,3.15,,,,,,,,,,
Estonia,Wine,0.97,1.11,0.98,0.83,0.58,0.32,0.33,0.28,0.0,0.0,,,,,,,,,,
Estonia,Spirits,3.36,3.49,4.5,4.83,5.37,5.65,5.88,5.67,7.46,6.69,,,,,,,,,,
Estonia,Other alcoholic beverages,0.59,0.23,0.1,0.07,0.03,0.03,0.04,0.03,0.0,0.0,,,,,,,,,,
Finland,All types,8.62,8.6,8.56,8.24,8.31,8.16,8.39,8.88,9.22,9.53,9.42,9.03,8.75,8.51,8.02,8.06,7.94,7.92,8.01,7.94
Finland,Beer,4.34,4.38,4.51,4.43,4.48,4.56,4.71,4.89,4.82,4.78,4.55,4.23,3.88,3.7,3.48,3.35,3.23,3.17,3.25,3.26
Finland,Wine,1.91,1.73,1.65,1.48,1.42,1.3,1.21,1.2,1.15,1.02,0.98,0.93,0.89,0.88,0.83,0.85,0.93,0.97,1.07,0.93
Finland,Spirits,1.1,1.16,1.11,1.08,1.2,1.07,1.14,1.3,1.52,1.73,1.8,1.8,1.85,1.82,1.74,1.79,1.65,1.75,1.71,1.74
Finland,Other alcoholic beverages,1.27,1.33,1.29,1.25,1.29,1.23,1.32,1.5,1.76,2.0,2.09,2.07,2.13,2.11,2.01,2.07,2.13,2.03,1.98,2.01
France,All types,13.15,13.27,13.31,13.77,14.12,14.11,14.24,14.72,14.85,15.73,16.05,15.86,15.9,16.13,16.59,16.89,17.72,18.25,18.33,18.97
