LOCATION,BEVERAGE TYPES,TIME,VALUE
Spain, Beer, 1978,3.58
Spain, Wine, 1978,10.58
Spain, Spirits, 1978,4.12
Sweden, All types, 1978,8.06
Sweden, Beer, 1978,3.06
Sweden, Wine, 1978,1.25
Sweden, Spirits, 1978,3.75
Switzerland, All types, 1978,14.16
Switzerland, Beer, 1978,4.3
Switzerland, Wine, 1978,6.9
Switzerland, Spirits, 1978,2.63
Switzerland, Other alcoholic beverages, 1978,0.33
Ukraine, All types, 1978,
Ukraine, Beer, 1978,
Ukraine, Wine, 1978,
Ukraine, Spirits, 1978,
Albania, All types, 1977,1.37
Albania, Beer, 1977,0.46
Albania, Wine, 1977,0.16
Albania, Spirits, 1977,0.74
Austria, All types, 1977,14.2
Austria, Beer, 1977,6.8
Austria, Wine, 1977,5.3
Austria, Spirits, 1977,2.1
Belgium, All types, 1977,13.47
Belgium, Beer, 1977,8.28
Belgium, Wine, 1977,2.52
Belgium, Spirits, 1977,2.67
Bulgaria, All types, 1977,10.52
Bulgaria, Beer, 1977,3.49
Bulgaria, Wine, 1977,3.32
Bulgaria, Spirits, 1977,3.71
Czechia, All types, 1977,14.2
Czechia, Beer, 1977,7.24
Czechia, Wine, 1977,2.45
Czechia, Spirits, 1977,4.51
Denmark, All types, 1977,11.43
Denmark, Beer, 1977,7.46
Denmark, Wine, 1977,1.65
Denmark, Spirits, 1977,2.32
Finland, All types, 1977,8.15
Finland, Beer, 1977,3.18
Finland, Wine, 1977,0.88
Finland, Spirits, 1977,1.9
Finland, Other alcoholic beverages, 1977,2.19
France, All types, 1977,20.74
France, Beer, 1977,3.01
France, Wine, 1977,14.64
France, Spirits, 1977,3.09
Germany, All types, 1977,16.44
Germany, Beer, 1977,9.29
Germany, Wine, 1977,3.51
Germany, Spirits, 1977,3.65
Greece, All types, 1977,10.92
Greece, Beer, 1977,1.38
Greece, Wine, 1977,6.02
Greece, Spirits, 1977,3.52
Hungary, All types, 1977,15.67
Hungary, Beer, 1977,5.1
Hungary, Wine, 1977,4.73
Hungary, Spirits, 1977,5.84
Iceland, All types, 1977,5.09
Iceland, Beer, 1977,1.01
Iceland, Wine, 1977,0.62
Iceland, Spirits, 1977,3.46
Iceland, Other alcoholic beverages, 1977,0.01
Ireland, All types, 1977,13.56
Ireland, Beer, 1977,8.7
Ireland, Wine, 1977,0.87
Ireland, Spirits, 1977,3.13
Ireland, Other alcoholic beverages, 1977,0.86
Italy, All types, 1977,16.99
Italy, Beer, 1977,0.91
Italy, Wine, 1977,13.46
Italy, Spirits, 1977,2.62
Luxembourg, All types, 1977,18.59
Luxembourg, Beer, 1977,6.15
Luxembourg, Wine, 1977,9.07
Luxembourg, Spirits, 1977,3.37
Norway, All types, 1977,5.93
Norway, Beer, 1977,2.96
Norway, Wine, 1977,0.49
Norway, Spirits, 1977,2.48
Poland, All types, 1977,10.47
Poland, Beer, 1977,2.25
Poland, Wine, 1977,1.31
Poland, Spirits, 1977,6.91
Portugal, All types, 1977,13.74
Portugal, Beer, 1977,2.71
Portugal, Wine, 1977,10.52
Portugal, Spirits, 1977,0.5
Portugal, Other alcoholic beverages, 1977,0.99
Romania, All types, 1977,9.61
Romania, Beer, 1977,2.33
Romania, Wine, 1977,4.45
Romania, Spirits, 1977,2.83
Slovakia, All types, 1977,14.85
Slovakia, Beer, 1977,7.56
Slovakia, Wine, 1977,2.81
Slovakia, Spirits, 1977,4.48
Spain, All types, 1977,17.07
Spain, Beer, 1977,3.23
Spain, Wine, 1977,9.85
Spain, Spirits, 1977,3.99
Sweden, All types, 1977,8.41
Sweden, Beer, 1977,3.37
Sweden, Wine, 1977,1.31
Sweden, Spirits, 1977,3.73
Switzerland, All types, 1977,14.04
Switzerland, Beer, 1977,4.35
Switzerland, Wine, 1977,6.8
Switzerland, Spirits, 1977,2.55
Switzerland, Other alcoholic beverages, 1977,0.35
Ukraine, All types, 1977,
Ukraine, Beer, 1977,
Ukraine, Wine, 1977,
Ukraine, Spirits, 1977,
Albania, All types, 1976,1.33
Albania, Beer, 1976,0.5
Albania, Wine, 1976,0.14
Albania, Spirits, 1976,0.69
Austria, All types, 1976,14.3
Austria, Beer, 1976,6.8
Austria, Wine, 1976,5.4
Austria, Spirits, 1976,2.1
Belgium, All types, 1976,13.6
Belgium, Beer, 1976,8.8
Belgium, Wine, 1976,2.31
Belgium, Spirits, 1976,2.49
Bulgaria, All types, 1976,10.86
Bulgaria, Beer, 1976,3.32
Bulgaria, Wine, 1976,3.77
Bulgaria, Spirits, 1976,3.77
Czechia, All types, 1976,13.62
Czechia, Beer, 1976,7.41
Czechia, Wine, 1976,2.34
Czechia, Spirits, 1976,3.87
Denmark, All types, 1976,11.84
Denmark, Beer, 1976,7.65
Denmark, Wine, 1976,1.77
Denmark, Spirits, 1976,2.42
Finland, All types, 1976,8.09
Finland, Beer, 1976,3.12
Finland, Wine, 1976,0.92
Finland, Spirits, 1976,1.87
Finland, Other alcoholic beverages, 1976,2.17
France, All types, 1976,20.84
France, Beer, 1976,3.19
France, Wine, 1976,14.59
France, Spirits, 1976,3.06
Germany, All types, 1976,17.23
Germany, Beer, 1976,9.51
Germany, Wine, 1976,3.57
Germany, Spirits, 1976,4.16
Greece, All types, 1976,11.01
Greece, Beer, 1976,1.9
Greece, Wine, 1976,4.99
Greece, Spirits, 1976,4.12
Hungary, All types, 1976,14.72
Hungary, Beer, 1976,4.81
Hungary, Wine, 1976,4.89
Hungary, Spirits, 1976,5.02
Iceland, All types, 1976,4.76
Iceland, Beer, 1976,0.93
Iceland, Wine, 1976,0.55
Iceland, Spirits, 1976,3.28
Iceland, Other alcoholic beverages, 1976,0.01
Ireland, All types, 1976,13.55
Ireland, Beer, 1976,8.94
Ireland, Wine, 1976,0.85
Ireland, Spirits, 1976,2.95
Ireland, Other alcoholic beverages, 1976,0.81
Italy, All types, 1976,17.6
Italy, Beer, 1976,0.93
Italy, Wine, 1976,14.18
Italy, Spirits, 1976,2.5
Luxembourg, All types, 1976,19.03
Luxembourg, Beer, 1976,6.35
Luxembourg, Wine, 1976,9.08
Luxembourg, Spirits, 1976,3.61
Norway, All types, 1976,5.84
Norway, Beer, 1976,2.92
Norway, Wine, 1976,0.47
Norway, Spirits, 1976,2.45
Poland, All types, 1976,9.45
Poland, Beer, 1976,2.39
Poland, Wine, 1976,1.16
Poland, Spirits, 1976,5.91
Portugal, All types, 1976,16.87
Portugal, Beer, 1976,2.2
Portugal, Wine, 1976,14.26
Portugal, Spirits, 1976,0.41
Portugal, Other alcoholic beverages, 1976,1.16
Romania, All types, 1976,9.44
Romania, Beer, 1976,2.33
Romania, Wine, 1976,4.43
Romania, Spirits, 1976,2.68
Slovakia, All types, 1976,13.66
Slovakia, Beer, 1976,7.09
Slovakia, Wine, 1976,2.71
Slovakia, Spirits, 1976,3.86
Spain, All types, 1976,17.93
Spain, Beer, 1976,3.3
Spain, Wine, 1976,10.77
Spain, Spirits, 1976,3.86
Sweden, All types, 1976,8.78
Sweden, Beer, 1976,3.72
Sweden, Wine, 1976,1.18
Sweden, Spirits, 1976,3.88
Switzerland, All types, 1976,13.96
Switzerland, Beer, 1976,4.56
Switzerland, Wine, 1976,6.64
Switzerland, Spirits, 1976,2.36
Switzerland, Other alcoholic beverages, 1976,0.4
Ukraine, All types, 1976,
Ukraine, Beer, 1976,
Ukraine, Wine, 1976,
Ukraine, Spirits, 1976,
Albania, All types, 1975,1.35
Albania, Beer, 1975,0.52
Albania, Wine, 1975,0.14
Albania, Spirits, 1975,0.69
Austria, All types, 1975,14.1
Austria, Beer, 1975,6.7
Austria, Wine, 1975,5.2
Austria, Spirits, 1975,2.2
Belgium, All types, 1975,13.46
Belgium, Beer, 1975,8.38
Belgium, Wine, 1975,2.52
Belgium, Spirits, 1975,2.56
Bulgaria, All types, 1975,10.15
Bulgaria, Beer, 1975,3.1
Bulgaria, Wine, 1975,3.32
Bulgaria, Spirits, 1975,3.73
Czechia, All types, 1975,13.33
Czechia, Beer, 1975,7.31
Czechia, Wine, 1975,2.31
Czechia, Spirits, 1975,3.71
Denmark, All types, 1975,11.47
Denmark, Beer, 1975,7.59
Denmark, Wine, 1975,1.63
Denmark, Spirits, 1975,2.25
Finland, All types, 1975,8.0
Finland, Beer, 1975,3.11
Finland, Wine, 1975,0.99
Finland, Spirits, 1975,1.81
Finland, Other alcoholic beverages, 1975,2.09
France, All types, 1975,21.12
France, Beer, 1975,2.95
France, Wine, 1975,14.99
France, Spirits, 1975,3.18
Germany, All types, 1975,16.84
Germany, Beer, 1975,9.42
Germany, Wine, 1975,3.55
Germany, Spirits, 1975,3.87
Greece, All types, 1975,10.88
Greece, Beer, 1975,1.27
Greece, Wine, 1975,5.69
Greece, Spirits, 1975,3.92
Hungary, All types, 1975,13.79
Hungary, Beer, 1975,4.54
Hungary, Wine, 1975,4.72
Hungary, Spirits, 1975,4.53
Iceland, All types, 1975,4.75
Iceland, Beer, 1975,0.85
Iceland, Wine, 1975,0.47
Iceland, Spirits, 1975,3.43
Iceland, Other alcoholic beverages, 1975,0.0
Ireland, All types, 1975,13.84
Ireland, Beer, 1975,9.35
Ireland, Wine, 1975,0.73
Ireland, Spirits, 1975,2.95
Ireland, Other alcoholic beverages, 1975,0.81
Italy, All types, 1975,18.32
Italy, Beer, 1975,0.84
Italy, Wine, 1975,15.1
Italy, Spirits, 1975,2.38
Luxembourg, All types, 1975,18.98
Luxembourg, Beer, 1975,6.18
Luxembourg, Wine, 1975,9.27
Luxembourg, Spirits, 1975,3.53
Norway, All types, 1975,5.87
Norway, Beer, 1975,2.98
Norway, Wine, 1975,0.48
Norway, Spirits, 1975,2.41
Poland, All types, 1975,8.62
Poland, Beer, 1975,2.42
Poland, Wine, 1975,1.04
Poland, Spirits, 1975,5.16
Portugal, All types, 1975,19.55
Portugal, Beer, 1975,2.11
Portugal, Wine, 1975,16.9
Portugal, Spirits, 1975,0.54
Portugal, Other alcoholic beverages, 1975,1.08
Romania, All types, 1975,9.68
Romania, Beer, 1975,2.28
Romania, Wine, 1975,4.86
Romania, Spirits, 1975,2.54
Slovakia, All types, 1975,14.7
Slovakia, Beer, 1975,7.71
Slovakia, Wine, 1975,2.99
Slovakia, Spirits, 1975,4.0
Spain, All types, 1975,18.53
Spain, Beer, 1975,3.25
Spain, Wine, 1975,11.55
Spain, Spirits, 1975,3.73
Sweden, All types, 1975,8.69
Sweden, Beer, 1975,3.8
Sweden, Wine, 1975,1.15
Sweden, Spirits, 1975,3.74
Switzerland, All types, 1975,14.28
Switzerland, Beer, 1975,4.63
Switzerland, Wine, 1975,6.79
Switzerland, Spirits, 1975,2.48
Switzerland, Other alcoholic beverages, 1975,0.39
Ukraine, All types, 1975,7.48
Ukraine, Beer, 1975,1.71
Ukraine, Wine, 1975,2.39
Ukraine, Spirits, 1975,3.38
Albania, All types, 1974,1.58
Albania, Beer, 1974,0.52
Albania, Wine, 1974,0.19
Albania, Spirits, 1974,0.87
Austria, All types, 1974,14.5
Austria, Beer, 1974,7.1
Austria, Wine, 1974,5.3
Austria, Spirits, 1974,2.1
Belgium, All types, 1974,13.35
Belgium, Beer, 1974,8.58
Belgium, Wine, 1974,2.32
Belgium, Spirits, 1974,2.45
Bulgaria, All types, 1974,10.22
Bulgaria, Beer, 1974,3.09
Bulgaria, Wine, 1974,3.7
Bulgaria, Spirits, 1974,3.43
Czechia, All types, 1974,13.11
Czechia, Beer, 1974,7.46
Czechia, Wine, 1974,2.16
Czechia, Spirits, 1974,3.49
Denmark, All types, 1974,10.68
Denmark, Beer, 1974,7.25
Denmark, Wine, 1974,1.38
Denmark, Spirits, 1974,2.05
Finland, All types, 1974,8.42
Finland, Beer, 1974,3.24
Finland, Wine, 1974,1.16
Finland, Spirits, 1974,1.87
Finland, Other alcoholic beverages, 1974,2.15
France, All types, 1974,21.15
France, Beer, 1974,2.91
France, Wine, 1974,15.09
France, Spirits, 1974,3.15
Germany, All types, 1974,15.92
Germany, Beer, 1974,9.45
Germany, Wine, 1974,3.07
Germany, Spirits, 1974,3.4
Greece, All types, 1974,10.88
Greece, Beer, 1974,2.11
Greece, Wine, 1974,5.21
Greece, Spirits, 1974,3.56
Hungary, All types, 1974,12.86
Hungary, Beer, 1974,4.19
Hungary, Wine, 1974,4.77
Hungary, Spirits, 1974,3.9
Iceland, All types, 1974,5.3
Iceland, Beer, 1974,1.07
Iceland, Wine, 1974,0.41
Iceland, Spirits, 1974,3.82
Iceland, Other alcoholic beverages, 1974,0.01
Ireland, All types, 1974,13.67
Ireland, Beer, 1974,9.44
Ireland, Wine, 1974,0.68
Ireland, Spirits, 1974,2.77
Ireland, Other alcoholic beverages, 1974,0.77
Italy, All types, 1974,19.65
Italy, Beer, 1974,0.98
Italy, Wine, 1974,15.89
Italy, Spirits, 1974,2.78
Luxembourg, All types, 1974,18.54
Luxembourg, Beer, 1974,6.18
Luxembourg, Wine, 1974,9.08
Luxembourg, Spirits, 1974,3.27
Norway, All types, 1974,5.74
Norway, Beer, 1974,2.89
Norway, Wine, 1974,0.46
Norway, Spirits, 1974,2.39
Poland, All types, 1974,9.01
Poland, Beer, 1974,2.54
Poland, Wine, 1974,1.01
Poland, Spirits, 1974,5.46
Portugal, All types, 1974,18.34
Portugal, Beer, 1974,2.35
Portugal, Wine, 1974,15.47
Portugal, Spirits, 1974,0.52
Portugal, Other alcoholic beverages, 1974,1.16
Romania, All types, 1974,10.34
Romania, Beer, 1974,2.06
Romania, Wine, 1974,5.27
Romania, Spirits, 1974,3.01
Slovakia, All types, 1974,13.51
Slovakia, Beer, 1974,7.51
Slovakia, Wine, 1974,2.5
Slovakia, Spirits, 1974,3.5
Spain, All types, 1974,18.38
Spain, Beer, 1974,3.06
Spain, Wine, 1974,11.72
Spain, Spirits, 1974,3.6
Sweden, All types, 1974,8.46
Sweden, Beer, 1974,3.68
Sweden, Wine, 1974,1.07
Sweden, Spirits, 1974,3.71
Switzerland, All types, 1974,15.24
Switzerland, Beer, 1974,4.88
Switzerland, Wine, 1974,7.15
Switzerland, Spirits, 1974,2.8
Switzerland, Other alcoholic beverages, 1974,0.4
Ukraine, All types, 1974,
Ukraine, Beer, 1974,
Ukraine, Wine, 1974,
Ukraine, Spirits, 1974,
