,Year,Country,Alcohol Consumption,Happiness,Social Support,Freedom To Make Life Choices,Generosity,Rank
76,2021,Denmark,10.4,7.698747158,0.944926739,0.933439255,0.131484345,2
77,2012,Estonia,16.96,5.363927841,0.889454544,0.696825743,-0.195185706,26
78,2013,Estonia,17.75,5.367445946,0.900721788,0.753558695,-0.204260021,23
79,2014,Estonia,17.29,5.55598259,0.917101741,0.773327112,-0.156480297,25
80,2015,Estonia,16.72,5.628908634,0.917929649,0.814692378,-0.167214438,26
81,2016,Estonia,15.61,5.649675369,0.937715113,0.842770696,-0.152972192,24
82,2017,Estonia,13.08,5.938395977,0.93568635,0.861749232,-0.104624368,25
83,2018,Estonia,10.81,6.091302395,0.932693779,0.885618389,-0.144695237,22
84,2019,Estonia,11.65,6.034641266,0.934064329,0.886504352,-0.098686397,23
85,2020,Estonia,10.8,6.452563763,0.957770467,0.954200566,-0.088427089,21
86,2021,Estonia,11.1,6.553915501,0.945865035,0.925818324,0.047387216,17
87,2012,Finland,9.27,7.420209408,0.927739382,0.920968115,-0.00531166,7
88,2013,Finland,9.08,7.444635868,0.940869093,0.918625355,0.035325918,4
89,2014,Finland,8.76,7.384571075,0.952016532,0.933043957,-0.005021296,4
90,2015,Finland,8.52,7.447925568,0.947800577,0.929861903,0.107025452,5
91,2016,Finland,8.44,7.659843445,0.953940451,0.948372185,-0.031104423,1
92,2017,Finland,8.37,7.788251877,0.963826418,0.962198973,-0.006553295,1
93,2018,Finland,8.37,7.85810709,0.962155044,0.937807381,-0.131461874,1
94,2019,Finland,8.23,7.780347824,0.93741554,0.947616696,-0.055772819,1
95,2020,Finland,8.2,7.889349937,0.961620748,0.962423682,-0.121018246,1
96,2021,Finland,8.1,7.794377804,0.97028929,0.96318984,-0.037466645,1
97,2012,France,12.22,6.649365425,0.93709743,0.841320336,-0.152917221,14
98,2013,France,11.73,6.66712141,0.907690823,0.877795756,-0.128365621,13
99,2014,France,12.07,6.466867924,0.877504528,0.803474188,-0.121955782,14
100,2015,France,11.87,6.357625008,0.895719409,0.817036211,-0.14313674,16
101,2016,France,11.74,6.475208759,0.884922922,0.786780477,-0.095159575,15
102,2017,France,11.69,6.635222435,0.931494594,0.83389014,-0.127265558,15
103,2018,France,11.24,6.665903568,0.921463072,0.816377223,-0.14162302,14
104,2019,France,11.44,6.689644337,0.958348095,0.827240825,-0.137017593,14
105,2020,France,10.4,6.714111805,0.947354019,0.823386312,-0.173693419,15
106,2021,France,10.5,6.656206608,0.914597511,0.836917698,-0.102300741,16
107,2012,Germany,11.32,6.702362061,0.926406622,0.904440463,0.066588588,13
108,2013,Germany,11.08,6.965125084,0.931420565,0.894312978,0.019869423,9
109,2014,Germany,11.07,6.984214306,0.937558949,0.898683429,0.083434992,8
110,2015,Germany,11.06,7.037137508,0.925923228,0.889428854,0.173345014,9
111,2016,Germany,10.96,6.873763084,0.906029284,0.870515049,0.14399913,12
112,2017,Germany,10.86,7.074324608,0.892166078,0.840727866,0.140681192,10
