Country Name,Year,Life Expectancy
Albania,1960,54.439
Andorra,1960,
Austria,1960,68.5856097560976
Belgium,1960,69.7019512195122
Bulgaria,1960,69.2475609756098
Bosnia and Herzegovina,1960,61.037
Belarus,1960,69.2546097560976
Switzerland,1960,71.3134146341463
Czechia,1960,70.3487804878049
Germany,1960,69.0640731707317
Denmark,1960,72.1765853658537
Spain,1960,69.1092682926829
Estonia,1960,68.933512195122
Finland,1960,68.819756097561
France,1960,69.8682926829268
United Kingdom,1960,71.1268292682927
Greece,1960,69.3
Croatia,1960,65.4823658536585
Hungary,1960,68.0031707317073
Ireland,1960,70.1942682926829
Iceland,1960,73.7620487804878
Israel,1960,
Italy,1960,69.1239024390244
Lithuania,1960,69.8473170731707
Luxembourg,1960,68.5925365853659
Latvia,1960,69.7868292682927
Moldova,1960,61.074
North Macedonia,1960,56.2230487804878
Montenegro,1960,64.8736097560976
Netherlands,1960,73.3926829268293
Norway,1960,73.549756097561
Poland,1960,67.6804878048781
Portugal,1960,64.0074634146342
Romania,1960,65.8605365853659
Slovenia,1960,68.9780487804878
Sweden,1960,73.0056097560976
Ukraine,1960,69.4850487804878
Albania,1961,55.634
Andorra,1961,
Austria,1961,69.5773170731707
Belgium,1961,70.5209756097561
Bulgaria,1961,70.1956097560976
Bosnia and Herzegovina,1961,61.856
Belarus,1961,69.7383902439024
Switzerland,1961,71.6448780487805
Czechia,1961,70.5126829268293
Germany,1961,69.6448780487805
Denmark,1961,72.4382926829268
Spain,1961,69.4804878048781
Estonia,1961,68.9621219512195
Finland,1961,68.8441463414634
France,1961,70.1170731707317
United Kingdom,1961,70.8780487804878
Greece,1961,70.3158536585366
Croatia,1961,66.1803414634146
Hungary,1961,68.9360975609756
Ireland,1961,69.6782926829268
Iceland,1961,73.5034146341464
Israel,1961,72.0065853658537
Italy,1961,69.760243902439
Lithuania,1961,70.1026829268293
Luxembourg,1961,69.2668292682927
Latvia,1961,70.0324390243903
Moldova,1961,61.446
North Macedonia,1961,57.7998292682927
Montenegro,1961,65.4191219512195
Netherlands,1961,73.6526829268293
Norway,1961,73.5504878048781
Poland,1961,67.7780487804878
Portugal,1961,62.666512195122
Romania,1961,65.8771463414634
Slovenia,1961,68.9780487804878
Sweden,1961,73.4743902439024
Ukraine,1961,69.5723658536586
Albania,1962,56.671
Andorra,1962,
Austria,1962,69.309512195122
Belgium,1962,70.219512195122
Bulgaria,1962,69.4919512195122
Bosnia and Herzegovina,1962,62.511
Belarus,1962,69.4623170731708
Switzerland,1962,71.1960975609756
Czechia,1962,69.7868292682927
Germany,1962,69.7992195121951
Denmark,1962,72.319756097561
Spain,1962,69.5190243902439
Estonia,1962,68.7918048780488
Finland,1962,68.5778048780488
France,1962,70.3146341463415
United Kingdom,1962,70.9268292682927
Greece,1962,70.2549756097561
Croatia,1962,66.4691463414634
Hungary,1962,67.8658536585366
Ireland,1962,69.9910487804878
Iceland,1962,73.7219512195122
Israel,1962,72.1121951219512
